Symbol,Name
0700.HK,TENCENT
9988.HK,BABA-W
3690.HK,MEITUAN-W
0981.HK,SMIC
0388.HK,HKEX
2318.HK,PING AN
1810.HK,XIAOMI-W
2628.HK,CHINA LIFE
6030.HK,CITIC SEC
1299.HK,AIA
3908.HK,CICC
1024.HK,KUAISHOU-W
0883.HK,CNOOC
0939.HK,CCB
9618.HK,JD-SW
0941.HK,CHINA MOBILE
2269.HK,WUXI BIO
0020.HK,SENSETIME-W
6099.HK,CMSC
1211.HK,BYD COMPANY
1918.HK,SUNAC
2202.HK,CHINA VANKE
1398.HK,ICBC
2015.HK,LI AUTO-W
6881.HK,CGS
1347.HK,HUA HONG SEMI
3968.HK,CM BANK
1359.HK,CHINA CINDA
9626.HK,BILIBILI-W
0857.HK,PETROCHINA
1093.HK,CSPC PHARMA
3988.HK,BANK OF CHINA
1336.HK,NCI
2020.HK,ANTA SPORTS
6066.HK,CSC
9888.HK,BIDU-SW
9999.HK,NTES-S
9961.HK,TRIP.COM-S
6886.HK,HTSC
0005.HK,HSBC HOLDINGS
2359.HK,WUXI APPTEC
1288.HK,ABC
1919.HK,COSCO SHIP HOLD
0175.HK,GEELY AUTO
0354.HK,CHINASOFT INT'L
0960.HK,LONGFOR GROUP
2319.HK,MENGNIU DAIRY
2331.HK,LI NING
1088.HK,CHINA SHENHUA
2899.HK,ZIJIN MINING
1801.HK,INNOVENT BIO
1339.HK,PICC GROUP
9868.HK,XPENG-W
9633.HK,NONGFU SPRING
1109.HK,CHINA RES LAND
1942.HK,MOG DIGITECH
2382.HK,SUNNY OPTICAL
0763.HK,ZTE
6618.HK,JD HEALTH
2601.HK,CPIC
3958.HK,DFZQ
6806.HK,SWHY
0241.HK,ALI HEALTH
0285.HK,BYD ELECTRONIC
0267.HK,CITIC
3759.HK,PHARMARON
6690.HK,HAIER SMARTHOME
6862.HK,HAIDILAO
1385.HK,SHANGHAI FUDAN
0027.HK,GALAXY ENT
0386.HK,SINOPEC CORP
0788.HK,CHINA TOWER
1658.HK,PSBC
1171.HK,YANKUANG ENERGY
0291.HK,CHINA RES BEER
1776.HK,GF SEC
3800.HK,GCL TECH
1880.HK,CTG DUTY-FREE
1797.HK,EAST BUY
1928.HK,SANDS CHINA LTD
0268.HK,KINGDEE INT'L
0992.HK,LENOVO GROUP
0300.HK,MIDEA GROUP
0688.HK,CHINA OVERSEAS
9896.HK,MNSO
1378.HK,CHINAHONGQIAO
0762.HK,CHINA UNICOM
9926.HK,AKESO
1788.HK,GUOTAI JUNAN I
2313.HK,SHENZHOU INTL
2423.HK,BEKE-W
0669.HK,TECHTRONIC IND
6098.HK,CG SERVICES
1772.HK,GANFENGLITHIUM
6178.HK,EB SECURITIES
0836.HK,CHINA RES POWER
0168.HK,TSINGTAO BREW
0916.HK,CHINA LONGYUAN
2357.HK,AVICHINA
1177.HK,SINO BIOPHARM
6969.HK,SMOORE INTL
0728.HK,CHINA TELECOM
2333.HK,GWMOTOR
9987.HK,YUM CHINA
0966.HK,CHINA TAIPING
6160.HK,BEIGENE
9922.HK,JIUMAOJIU
3323.HK,CNBM
1816.HK,CGN POWER
6682.HK,FOURTH PARADIGM
0390.HK,CHINA RAILWAY
3888.HK,KINGSOFT
2238.HK,GAC GROUP
1468.HK,KINGKEY FIN-NEW
1800.HK,CHINA COMM CONS
3347.HK,TIGERMED
1951.HK,JXR
0576.HK,ZHEJIANGEXPRESS
3898.HK,TIMES ELECTRIC
2367.HK,GIANT BIOGENE
3993.HK,CMOC
2328.HK,PICC P&C
6186.HK,CHINA FEIHE
0914.HK,CONCH CEMENT
3900.HK,GREENTOWN CHINA
0853.HK,MICROPORT
9636.HK,JF SMARTINVEST
0968.HK,XINYI SOLAR
0016.HK,SHK PPT
1585.HK,YADEA
3998.HK,BOSIDENG
6060.HK,ZA ONLINE
2196.HK,FOSUN PHARMA
1456.HK,GUOLIAN SEC
2388.HK,BOC HONG KONG
2338.HK,WEICHAI POWER
1030.HK,SEAZEN
0753.HK,AIR CHINA
9901.HK,NEW ORIENTAL-S
0780.HK,TONGCHENGTRAVEL
0001.HK,CKH HOLDINGS
1186.HK,CHINA RAIL CONS
1209.HK,CHINA RES MIXC
3678.HK,HOLLY FUTURES
1898.HK,CHINA COAL
1357.HK,MEITU
6078.HK,HYGEIA HEALTH
0998.HK,CITIC BANK
6979.HK,ZJLD
3328.HK,BANKCOMM
1113.HK,CK ASSET
1910.HK,SAMSONITE
1055.HK,CHINA SOUTH AIR
9863.HK,LEAPMOTOR
1766.HK,CRRC
1876.HK,BUD APAC
0123.HK,YUEXIU PROPERTY
2688.HK,ENN ENERGY
1375.HK,CC SECURITIES
0358.HK,JIANGXI COPPER
1818.HK,ZHAOJIN MINING
9992.HK,POP MART
2057.HK,ZTO EXPRESS-W
0006.HK,POWER ASSETS
2618.HK,JD LOGISTICS
2013.HK,WEIMOB INC
9866.HK,NIO-SW
2600.HK,CHALCO
0817.HK,CHINA JINMAO
0902.HK,HUANENG POWER
1988.HK,MINSHENG BANK
3606.HK,FUYAO GLASS
1548.HK,GENSCRIPT BIO
0002.HK,CLP HOLDINGS
0101.HK,HANG LUNG PPT
1138.HK,COSCO SHIP ENGY
2883.HK,CHINA OILFIELD
2498.HK,ROBOSENSE
6865.HK,FLAT GLASS
1099.HK,SINOPHARM
2018.HK,AAC TECH
2443.HK,AUTOSTREETS
0011.HK,HANG SENG BANK
9696.HK,TIANQI LITHIUM
0384.HK,CHINA GAS HOLD
1128.HK,WYNN MACAU
0136.HK,CHINA RUYI
1057.HK,ZHEJIANG SHIBAO
2128.HK,CHINA LESSO
0316.HK,OOIL
1787.HK,SD GOLD
3692.HK,HANSOH PHARMA
2799.HK,CITIC FAMC
0772.HK,CHINA LIT
1952.HK,EVEREST MED - B
0489.HK,DONGFENG GROUP
0522.HK,ASMPT
0819.HK,TIANNENG POWER
1193.HK,CHINA RES GAS
0586.HK,CONCH VENTURE
3320.HK,CHINARES PHARMA
0317.HK,COMEC
2282.HK,MGM CHINA
0189.HK,DONGYUE GROUP
0017.HK,NEW WORLD DEV
0921.HK,HISENSE HA
0003.HK,HK & CHINA GAS
0868.HK,XINYI GLASS
9899.HK,CLOUD MUSIC
0696.HK,TRAVELSKY TECH
2380.HK,CHINA POWER
0813.HK,SHIMAO GROUP
3896.HK,KINGSOFT CLOUD
1519.HK,J&T EXPRESS-W
0270.HK,GUANGDONG INV
2268.HK,WUXI XDC
1060.HK,ALI PICTURES
1618.HK,MCC
0293.HK,CATHAY PAC AIR
9880.HK,UBTECH ROBOTICS
2016.HK,CZBANK
2208.HK,GOLDWIND
1530.HK,3SBIO
0392.HK,BEIJING ENT
0135.HK,KUNLUN ENERGY
0322.HK,TINGYI
1114.HK,BRILLIANCE CHI
9890.HK,ZX INC
2727.HK,SH ELECTRIC
9676.HK,SHIYUE DAOTIAN
1179.HK,HWORLD-S
1164.HK,CGN MINING
0884.HK,CIFI HOLD GP
1579.HK,YIHAI INTL
3808.HK,SINOTRUK
6869.HK,YOFC
6855.HK,ASCENTAGE-B
0165.HK,CHINA EB LTD
0874.HK,BAIYUNSHAN PH
1516.HK,SUNAC SERVICES
1208.HK,MMG
1958.HK,BAIC MOTOR
2400.HK,XD INC
0881.HK,ZHONGSHENG HLDG
1368.HK,XTEP INT'L
0467.HK,UNITEDENERGY GP
0867.HK,CMS
1896.HK,MAOYAN ENT
0013.HK,HUTCHMED
1833.HK,PA GOODDOCTOR
1999.HK,MAN WAH HLDGS
1157.HK,ZOOMLION
1308.HK,SITC
2555.HK,CHABAIDAO
0257.HK,EB ENVIRONMENT
9690.HK,TUHU-W
2099.HK,CHINAGOLDINTL
3319.HK,A-LIVING
1508.HK,CHINA RE
0144.HK,CHINA MER PORT
6181.HK,LAOPU GOLD
0066.HK,MTR CORPORATION
9869.HK,HELENS
1610.HK,COFCO JOYCOME
1274.HK,IMOTIONAUTOTECH
9995.HK,REMEGEN
0694.HK,BEIJING AIRPORT
6049.HK,POLY PPT SER
2858.HK,YIXIN
1972.HK,SWIREPROPERTIES
0288.HK,WH GROUP
0425.HK,MINTH GROUP
3383.HK,AGILE GROUP
0839.HK,CHINA EDU GROUP
3618.HK,CQRC BANK
6196.HK,BANKOFZHENGZHOU
2273.HK,GUSHENGTANG
IPO2576.HK,TAIMEI TECH
2777.HK,R&F PROPERTIES
1773.HK,TIANLI INT HLDG
6055.HK,CTIHK
1349.HK,FUDANZHANGJIANG
0570.HK,TRAD CHI MED
6818.HK,CEB BANK
1302.HK,LIFETECH SCI
0012.HK,HENDERSON LAND
1929.HK,CHOW TAI FOOK
1428.HK,BRIGHT SMART
3738.HK,VOBILE GROUP
2607.HK,SH PHARMA
